PROVINCE;PRESENTATION;LABORATORY;YEAR;MONTH;SALES UNITS
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/1/2020;3393,999756
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/2/2020;3826,999756
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/3/2020;4445
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/4/2020;3059,000244
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/5/2020;2939,999756
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/6/2020;2801,999756
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/7/2020;3746,999756
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/8/2020;3332,000488
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/9/2020;4000,999512
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/10/2020;3737,000244
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/11/2020;3656
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/12/2020;6095
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2021;1/1/2021;3190,000488
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2021;1/2/2021;3557,999756
AZUAY;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/1/2020;1332
AZUAY;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/2/2020;1879
AZUAY;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/3/2020;2988
AZUAY;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/4/2020;1620,000122
AZUAY;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/5/2020;1821
AZUAY;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/6/2020;2687,000244
AZUAY;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/7/2020;1609
AZUAY;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/8/2020;1697,999878
AZUAY;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/9/2020;1432
AZUAY;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/10/2020;3897,999756
AZUAY;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/11/2020;1833,000122
AZUAY;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/12/2020;1651
AZUAY;MIGRA DORIXINA TABL x 20;MEGALABS;2021;1/1/2021;1408
AZUAY;MIGRA DORIXINA TABL x 20;MEGALABS;2021;1/2/2021;1693,000122
AZUAY;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/1/2020;382
AZUAY;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/2/2020;356
AZUAY;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/3/2020;557
AZUAY;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/4/2020;209,9999847
AZUAY;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/5/2020;346
AZUAY;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/6/2020;271
AZUAY;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/7/2020;386
AZUAY;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/8/2020;531
AZUAY;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/9/2020;454
AZUAY;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/10/2020;374
AZUAY;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/11/2020;70
AZUAY;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/12/2020;332
AZUAY;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2021;1/1/2021;569
AZUAY;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2021;1/2/2021;331
AZUAY;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/1/2020;721
AZUAY;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/2/2020;745,999939
AZUAY;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/3/2020;839,000061
AZUAY;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/4/2020;663
AZUAY;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/5/2020;522
AZUAY;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/6/2020;672
AZUAY;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/7/2020;653
AZUAY;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/8/2020;600,999939
AZUAY;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/9/2020;526
AZUAY;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/10/2020;647
AZUAY;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/11/2020;725
AZUAY;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/12/2020;869,000061
AZUAY;MIGRAX TABL RECUBI. x 10;SAVAL;2021;1/1/2021;526
AZUAY;MIGRAX TABL RECUBI. x 10;SAVAL;2021;1/2/2021;596,000061
AZUAY;PROFINAL MIGRA TABL RECUBI. x 20;REPFARM;2020;1/4/2020;50,00000381
AZUAY;PROFINAL MIGRA TABL RECUBI. x 20;REPFARM;2020;1/5/2020;88,00000763
AZUAY;PROFINAL MIGRA TABL RECUBI. x 20;REPFARM;2020;1/6/2020;47,00000381
AZUAY;PROFINAL MIGRA TABL RECUBI. x 20;REPFARM;2020;1/7/2020;89,99998474
AZUAY;PROFINAL MIGRA TABL RECUBI. x 20;REPFARM;2020;1/8/2020;148,9999695
AZUAY;PROFINAL MIGRA TABL RECUBI. x 20;REPFARM;2020;1/9/2020;265
AZUAY;PROFINAL MIGRA TABL RECUBI. x 20;REPFARM;2020;1/10/2020;117,0000305
AZUAY;PROFINAL MIGRA TABL RECUBI. x 20;REPFARM;2020;1/11/2020;99,00003052
AZUAY;PROFINAL MIGRA TABL RECUBI. x 20;REPFARM;2020;1/12/2020;130,000061
AZUAY;PROFINAL MIGRA TABL RECUBI. x 20;REPFARM;2021;1/1/2021;86,00000763
AZUAY;PROFINAL MIGRA TABL RECUBI. x 20;REPFARM;2021;1/2/2021;76,00000763
BOLIVAR;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/1/2020;235
BOLIVAR;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/2/2020;261
BOLIVAR;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/3/2020;303,9999695
BOLIVAR;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/4/2020;212
BOLIVAR;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/5/2020;199
BOLIVAR;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/6/2020;219
BOLIVAR;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/7/2020;251,0009155
BOLIVAR;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/8/2020;290
BOLIVAR;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/9/2020;248
BOLIVAR;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/10/2020;210,0010834
BOLIVAR;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/11/2020;172,3742676
BOLIVAR;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/12/2020;250,0007172
BOLIVAR;BUPREXMIGRA TABL RECUB. x 20;LIFE;2021;1/1/2021;261
BOLIVAR;BUPREXMIGRA TABL RECUB. x 20;LIFE;2021;1/2/2021;219,5295715
BOLIVAR;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/1/2020;152,003479
BOLIVAR;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/2/2020;141,9999847
BOLIVAR;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/3/2020;195
BOLIVAR;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/4/2020;192
BOLIVAR;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/5/2020;147
BOLIVAR;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/6/2020;111
BOLIVAR;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/7/2020;139
BOLIVAR;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/8/2020;219
BOLIVAR;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/9/2020;145
BOLIVAR;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/10/2020;239
BOLIVAR;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/11/2020;141
BOLIVAR;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/12/2020;132,0043182
BOLIVAR;MIGRA DORIXINA TABL x 20;MEGALABS;2021;1/1/2021;103
BOLIVAR;MIGRA DORIXINA TABL x 20;MEGALABS;2021;1/2/2021;139
BOLIVAR;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/1/2020;49,00000381
BOLIVAR;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/2/2020;31
BOLIVAR;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/3/2020;63
BOLIVAR;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/4/2020;44,00000381
BOLIVAR;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/5/2020;29,00000191
BOLIVAR;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/6/2020;16
BOLIVAR;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/7/2020;43
BOLIVAR;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/8/2020;42,00000381
BOLIVAR;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/9/2020;53,00000381
BOLIVAR;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/10/2020;43
BOLIVAR;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/11/2020;5
BOLIVAR;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/12/2020;33
BOLIVAR;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2021;1/1/2021;80
BOLIVAR;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2021;1/2/2021;43
BOLIVAR;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/1/2020;176
BOLIVAR;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/2/2020;152
BOLIVAR;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/3/2020;153
BOLIVAR;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/4/2020;118
BOLIVAR;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/5/2020;131
BOLIVAR;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/6/2020;164
BOLIVAR;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/7/2020;108
BOLIVAR;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/8/2020;122,0000076
BOLIVAR;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/9/2020;114
BOLIVAR;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/10/2020;165
BOLIVAR;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/11/2020;137
BOLIVAR;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/12/2020;133
BOLIVAR;MIGRAX TABL RECUBI. x 10;SAVAL;2021;1/1/2021;107
BOLIVAR;MIGRAX TABL RECUBI. x 10;SAVAL;2021;1/2/2021;98
BOLIVAR;PROFINAL MIGRA TABL RECUBI. x 20;REPFARM;2020;1/3/2020;10,00000095
BOLIVAR;PROFINAL MIGRA TABL RECUBI. x 20;REPFARM;2020;1/4/2020;3,923077106
BOLIVAR;PROFINAL MIGRA TABL RECUBI. x 20;REPFARM;2020;1/5/2020;22,69230652
BOLIVAR;PROFINAL MIGRA TABL RECUBI. x 20;REPFARM;2020;1/6/2020;14,96153927
BOLIVAR;PROFINAL MIGRA TABL RECUBI. x 20;REPFARM;2020;1/7/2020;23,5
BOLIVAR;PROFINAL MIGRA TABL RECUBI. x 20;REPFARM;2020;1/8/2020;18,53846169
BOLIVAR;PROFINAL MIGRA TABL RECUBI. x 20;REPFARM;2020;1/9/2020;49,38461685
BOLIVAR;PROFINAL MIGRA TABL RECUBI. x 20;REPFARM;2020;1/10/2020;40,38461304
BOLIVAR;PROFINAL MIGRA TABL RECUBI. x 20;REPFARM;2020;1/11/2020;51,23077393
BOLIVAR;PROFINAL MIGRA TABL RECUBI. x 20;REPFARM;2020;1/12/2020;60,57692337
BOLIVAR;PROFINAL MIGRA TABL RECUBI. x 20;REPFARM;2021;1/1/2021;30,65384674
BOLIVAR;PROFINAL MIGRA TABL RECUBI. x 20;REPFARM;2021;1/2/2021;42,38462067
CAÑAR;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/1/2020;1006,000061
CAÑAR;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/2/2020;861
CAÑAR;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/3/2020;588
CAÑAR;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/4/2020;402
CAÑAR;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/5/2020;678,999939
CAÑAR;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/6/2020;643,999939
CAÑAR;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/7/2020;651,000061
CAÑAR;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/8/2020;646
CAÑAR;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/9/2020;356
CAÑAR;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/10/2020;682
CAÑAR;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/11/2020;763,9998779
CAÑAR;BUPREXMIGRA TABL RECUB. x 20;LIFE;2020;1/12/2020;899,000061
CAÑAR;BUPREXMIGRA TABL RECUB. x 20;LIFE;2021;1/1/2021;987,000061
CAÑAR;BUPREXMIGRA TABL RECUB. x 20;LIFE;2021;1/2/2021;885
CAÑAR;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/1/2020;224
CAÑAR;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/2/2020;190
CAÑAR;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/3/2020;227
CAÑAR;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/4/2020;1618,000122
CAÑAR;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/5/2020;144,0000153
CAÑAR;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/6/2020;211
CAÑAR;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/7/2020;178
CAÑAR;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/8/2020;132
CAÑAR;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/9/2020;1499
CAÑAR;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/10/2020;227,9999847
CAÑAR;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/11/2020;310,9999695
CAÑAR;MIGRA DORIXINA TABL x 20;MEGALABS;2020;1/12/2020;172
CAÑAR;MIGRA DORIXINA TABL x 20;MEGALABS;2021;1/1/2021;1397,000122
CAÑAR;MIGRA DORIXINA TABL x 20;MEGALABS;2021;1/2/2021;180
CAÑAR;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/1/2020;27,00000381
CAÑAR;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/2/2020;11
CAÑAR;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/3/2020;13
CAÑAR;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/4/2020;2
CAÑAR;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/5/2020;21
CAÑAR;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/6/2020;58
CAÑAR;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/7/2020;44
CAÑAR;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/8/2020;55,00000381
CAÑAR;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/9/2020;63
CAÑAR;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/10/2020;30,99999619
CAÑAR;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/11/2020;6
CAÑAR;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2020;1/12/2020;26
CAÑAR;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2021;1/1/2021;55
CAÑAR;MIGRAFLASH CAPS BLANDA x 10;JAMES BROWN PHARMA;2021;1/2/2021;40
CAÑAR;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/1/2020;92
CAÑAR;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/2/2020;137
CAÑAR;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/3/2020;225,0000153
CAÑAR;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/4/2020;102
CAÑAR;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/5/2020;177
CAÑAR;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/6/2020;144,9999847
CAÑAR;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/7/2020;270,9999695
CAÑAR;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/8/2020;247,9999847
CAÑAR;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/9/2020;76
CAÑAR;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/10/2020;202
CAÑAR;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/11/2020;94
CAÑAR;MIGRAX TABL RECUBI. x 10;SAVAL;2020;1/12/2020;148
CAÑAR;MIGRAX TABL RECUBI. x 10;SAVAL;2021;1/1/2021;177
CAÑAR;MIGRAX TABL RECUBI. x 10;SAVAL;2021;1/2/2021;196
CAÑAR;PROFINAL MIGRA TABL RECUBI. x 20;REPFARM;2020;1/4/2020;15
CAÑAR;PROFINAL MIGRA TABL RECUBI. x 20;REPFARM;2020;1/5/2020;38
CAÑAR;PROFINAL MIGRA TABL RECUBI. x 20;REPFARM;2020;1/6/2020;36
CAÑAR;PROFINAL MIGRA TABL RECUBI. x 20;REPFARM;2020;1/7/2020;43
