PROVINCE;PRESENTATION;LABORATORY;YEAR;MONTH;SALES UNITS
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2016;Ene-16;1965.000244
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2016;Feb-16;4029.001465
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2016;Mar-16;2090.000244
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2016;Abr-16;1965.999756
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2016;May-16;2160
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2016;Jun-16;2182.000244
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2016;Jul-16;2426.999756
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2016;Ago-16;2286
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2016;Septiembre 2016;3880.000244
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2016;Oct-16;2536
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2016;Nov-16;2429.000244
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2016;Dic-16;2522.000244
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2017;Ene-17;2997.000244
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2017;Feb-17;2432.999756
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2017;Mar-17;2551.000244
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2017;Abr-17;2933
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2017;May-17;2825.000244
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2017;Jun-17;2966
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2017;Jul-17;2603
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2017;Ago-17;2977.999512
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2017;Septiembre 2017;2517.999512
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2017;Oct-17;2832.000244
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2017;Nov-17;3339.000244
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2017;Dic-17;2450
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2018;Ene-18;2730
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2018;Feb-18;3426.000488
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2018;Mar-18;2963.999756
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2018;Abr-18;3355.000244
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2018;May-18;2834.000488
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2018;Jun-18;3244
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2018;Jul-18;3124.000488
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2018;Ago-18;3319
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2018;Septiembre 2018;3261
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2018;Oct-18;3704
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2018;Nov-18;3295.999756
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2018;Dic-18;3330
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2019;Ene-19;3542.000488
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2019;Feb-19;3451.000244
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2019;Mar-19;3597
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2019;Abr-19;3963
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2019;May-19;4007
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2019;Jun-19;3001
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2019;Jul-19;3701.000244
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2019;Ago-19;2977.999756
AZUAY;BUPREXMIGRA TABL RECUB. x 20;LIFE;2019;Septiembre 2019;4230
